ProductName,Category,TotalSales,TotalProfit,ProfitMarginPercent
Electric Kettle,Home Appliances,50423.95,18323.95,36.34
Rice Cooker,Home Appliances,170617.7,61897.7,36.28
Coffee Maker,Home Appliances,189718.95,68818.95,36.27
Fitness Tracker,Lifestyle Goods,285157.35,102757.35,36.04
Food Processor,Home Appliances,452245.75,162445.75,35.92
Wireless Headphones,Electronics,386220.45,138720.45,35.92
"Smart TV 55""",Electronics,1919302.35,686902.35,35.79
Toaster,Home Appliances,86735.2,30935.2,35.67
Wall Clock,Lifestyle Goods,84231.2,29931.2,35.53
Bluetooth Speaker,Electronics,188049.55,66549.55,35.39
Water Bottle,Lifestyle Goods,33422.05,11822.05,35.37
Yoga Mat,Lifestyle Goods,48991.15,17311.15,35.34
E-Reader,Electronics,620197.75,219097.75,35.33
Air Purifier,Home Appliances,922457.25,325157.25,35.25
Vacuum Cleaner,Home Appliances,665866.8,233866.8,35.12
Air Fryer,Home Appliances,423758.7,148358.7,35.01
Sunglasses,Lifestyle Goods,64618.05,22618.05,35
Digital Camera,Electronics,1326984.6,464484.6,35
Throw Pillow Set,Lifestyle Goods,110621.55,38621.55,34.91
Smartphone Pro,Electronics,3047439.6,1063839.6,34.91
Bath Towel Set,Lifestyle Goods,64662.05,22542.05,34.86
Backpack,Lifestyle Goods,107700.2,37500.2,34.82
Blender,Home Appliances,140783.4,48983.4,34.79
"Laptop 15"" i5",Electronics,1677495.15,583095.15,34.76
Smart Watch,Electronics,738176.95,255776.95,34.65
Desk Lamp,Lifestyle Goods,111036.15,38376.15,34.56
"Tablet 10""",Electronics,1026671.65,354671.65,34.55
Microwave Oven,Home Appliances,280292.4,96752.4,34.52
Gaming Console,Electronics,1612838.7,550838.7,34.15
Scented Candles,Lifestyle Goods,41600.8,14090.8,33.87
