FeedbackID,OrderID,CustomerID,FeedbackDate,Rating,Satisfaction,RecommendLikelihood,ProductCategory,Comments
FB00742,ORD01452,C0007,1/4/2023,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00715,ORD01674,C0294,1/9/2023,5,Very Satisfied,10,Home Appliances,Fast delivery and great customer service.
FB00853,ORD02382,C0059,1/9/2023,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00529,ORD00716,C0273,1/11/2023,4,Satisfied,7,Home Appliances,Satisfied with the purchase.
FB00684,ORD01998,C0281,1/12/2023,4,Satisfied,7,Home Appliances,Meets my needs perfectly.
FB00287,ORD01926,C0091,1/14/2023,5,Very Satisfied,10,Home Appliances,Excellent product quality! Highly recommend.
FB00400,ORD02019,C0120,1/16/2023,5,Very Satisfied,9,Electronics,Will definitely buy again.
FB00961,ORD00553,C0153,1/21/2023,4,Satisfied,9,Home Appliances,"Good product, works as expected."
FB00080,ORD01784,C0104,1/22/2023,4,Satisfied,8,Home Appliances,Satisfied with the purchase.
FB00942,ORD00312,C0324,1/23/2023,5,Very Satisfied,10,Home Appliances,Will definitely buy again.
FB00384,ORD00254,C0186,1/23/2023,3,Neutral,5,Electronics,"Average quality, expected more."
FB00886,ORD00977,C0005,1/23/2023,5,Very Satisfied,10,Lifestyle Goods,Best purchase I have made this year!
FB00389,ORD02205,C0193,1/27/2023,3,Neutral,6,Home Appliances,"Product is okay, nothing special."
FB00450,ORD02015,C0078,1/28/2023,4,Satisfied,8,Electronics,Happy with the quality.
FB00084,ORD00633,C0124,1/28/2023,3,Neutral,7,Electronics,"Product is okay, nothing special."
FB00830,ORD01633,C0467,1/31/2023,4,Satisfied,9,Home Appliances,Happy with the quality.
FB00385,ORD00781,C0046,1/31/2023,4,Satisfied,9,Home Appliances,Satisfied with the purchase.
FB00055,ORD02199,C0170,2/3/2023,5,Very Satisfied,9,Electronics,Excellent product quality! Highly recommend.
FB00634,ORD01362,C0336,2/4/2023,4,Satisfied,7,Home Appliances,"Product is fine, delivery was on time."
FB00793,ORD02469,C0034,2/5/2023,4,Satisfied,9,Home Appliances,Meets my needs perfectly.
FB00424,ORD01318,C0089,2/6/2023,3,Neutral,6,Electronics,"Average quality, expected more."
FB00328,ORD00427,C0042,2/7/2023,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00428,ORD02231,C0484,2/8/2023,5,Very Satisfied,9,Home Appliances,Product exceeded my expectations.
FB00054,ORD00829,C0405,2/8/2023,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00796,ORD01967,C0395,2/10/2023,3,Neutral,6,Home Appliances,"Average quality, expected more."
FB00259,ORD01739,C0333,2/11/2023,5,Very Satisfied,10,Home Appliances,Excellent product quality! Highly recommend.
FB00863,ORD01222,C0151,2/12/2023,5,Very Satisfied,9,Electronics,Will definitely buy again.
FB00499,ORD00368,C0065,2/12/2023,3,Neutral,7,Electronics,It works but could be better.
FB00655,ORD00229,C0127,2/13/2023,3,Neutral,6,Lifestyle Goods,Decent product for the price.
